# Speaker Information--------------------------------------------------------------------------------------------------------------------------------
Name: _
Age: 30
Sex: M
Date: 2022-09-10 08:55:45.499885

# Classification Information-------------------------------------------------------------------------------------------------------------------------
Experiment: train-101M102M104M_test-103M
Data: small-subset

# Modelparameters------------------------------------------------------------------------------------------------------------------------------------
classifier    num-estimators    criterion    max_depth    max_features    min_samples_split    min_samples_leaf
         1               100         gini           20            sqrt                   10                   5
         2               100         gini           20            sqrt                   10                   5
         3               100         gini           20            sqrt                   10                   5
         4               100         gini           20            sqrt                   10                   5
         5               100         gini           20            sqrt                   10                   5
         6               100         gini           20            sqrt                   10                   5
         7               100         gini           20            sqrt                   10                   5
         8               100         gini           20            sqrt                   10                   5

# Results--------------------------------------------------------------------------------------------------------------------------------------------
class 0-vs-i    mean-accuracy    recall    precison    f1-score
           1             0.50      0.91        0.52        0.66
           2             0.44      0.80        0.47        0.59
           3             0.42      0.65        0.46        0.54
           4             0.29      0.15        0.21        0.18
           5             0.42      0.26        0.38        0.31
           6             0.46      0.63        0.47        0.54
           7             0.38      0.35        0.44        0.39
           8             0.40      0.18        0.33        0.23

# Feature Importances--------------------------------------------------------------------------------------------------------------------------------
feature-name                                          block 10_20    block 20_30    block 30_40    block 40_50    block 50_60    block 60_70    block 70_80    block 80_90    
HNRdBACF_sma3nz_amean                                       0.011         0.0096          0.011          0.013          0.015          0.019           0.02          0.029    
HNRdBACF_sma3nz_stddevNorm                                 0.0083          0.009          0.012         0.0085           0.01         0.0077          0.013         0.0081    
logRelF0-H1-H2_sma3nz_amean                                 0.025          0.017          0.023          0.028          0.036          0.034          0.036          0.047    
logRelF0-H1-H2_sma3nz_stddevNorm                            0.026          0.018          0.011          0.016          0.039          0.015          0.011          0.012    
logRelF0-H1-A3_sma3nz_amean                                 0.011          0.019          0.013         0.0097          0.019          0.018          0.019          0.023    
logRelF0-H1-A3_sma3nz_stddevNorm                           0.0059          0.007         0.0061         0.0064         0.0095         0.0064         0.0056         0.0091    
F1frequency_sma3nz_amean                                    0.015          0.023         0.0091         0.0066         0.0083         0.0078         0.0068         0.0068    
F1frequency_sma3nz_stddevNorm                               0.013          0.022          0.014          0.013          0.014          0.011         0.0094         0.0063    
F1bandwidth_sma3nz_amean                                   0.0081         0.0046         0.0078         0.0081         0.0066         0.0072          0.011         0.0087    
F1bandwidth_sma3nz_stddevNorm                              0.0052         0.0062         0.0069         0.0078         0.0084         0.0086         0.0085         0.0052    
F1amplitudeLogRelF0_sma3nz_amean                            0.012          0.012         0.0047         0.0088          0.004          0.004          0.005         0.0031    
F1amplitudeLogRelF0_sma3nz_stddevNorm                        0.01         0.0076         0.0042          0.008         0.0054         0.0051         0.0034         0.0041    
F2frequency_sma3nz_amean                                    0.013          0.013          0.015         0.0092         0.0055         0.0045          0.017         0.0086    
F2frequency_sma3nz_stddevNorm                              0.0077          0.012          0.012         0.0099          0.016          0.024          0.013          0.011    
F2bandwidth_sma3nz_amean                                   0.0097         0.0085         0.0097         0.0092          0.009          0.012          0.012         0.0074    
F2bandwidth_sma3nz_stddevNorm                              0.0062         0.0092         0.0064         0.0069         0.0057           0.01         0.0036         0.0034    
F2amplitudeLogRelF0_sma3nz_amean                           0.0085          0.019         0.0047         0.0071         0.0075         0.0095         0.0035         0.0072    
F2amplitudeLogRelF0_sma3nz_stddevNorm                      0.0059         0.0065         0.0052         0.0069         0.0062         0.0053         0.0078         0.0034    
F3frequency_sma3nz_amean                                     0.02          0.031          0.016          0.014          0.011          0.022          0.025          0.016    
F3frequency_sma3nz_stddevNorm                              0.0061          0.011          0.011         0.0051          0.017          0.012         0.0069          0.015    
F3bandwidth_sma3nz_amean                                   0.0091         0.0097          0.015         0.0097          0.026          0.039          0.026          0.016    
F3bandwidth_sma3nz_stddevNorm                               0.012          0.011         0.0066         0.0087          0.013          0.012          0.012         0.0067    
F3amplitudeLogRelF0_sma3nz_amean                             0.01          0.012         0.0069         0.0074          0.008         0.0045         0.0086         0.0049    
F3amplitudeLogRelF0_sma3nz_stddevNorm                       0.009         0.0076         0.0048         0.0045         0.0061         0.0076           0.01         0.0066    
alphaRatioV_sma3nz_amean                                    0.014           0.01          0.029          0.017          0.014          0.021         0.0098          0.013    
alphaRatioV_sma3nz_stddevNorm                               0.013           0.02          0.023          0.016         0.0079          0.011         0.0095          0.014    
hammarbergIndexV_sma3nz_amean                               0.019           0.01          0.018          0.012          0.015          0.015         0.0084          0.012    
hammarbergIndexV_sma3nz_stddevNorm                          0.013         0.0073          0.023          0.019          0.006         0.0053         0.0099          0.012    
slopeV0-500_sma3nz_amean                                    0.031           0.03          0.021          0.018          0.017          0.027           0.02          0.019    
slopeV0-500_sma3nz_stddevNorm                               0.026          0.023          0.014          0.012           0.04          0.012          0.021          0.039    
slopeV500-1500_sma3nz_amean                                0.0097          0.011          0.011         0.0078          0.016           0.01         0.0081          0.013    
slopeV500-1500_sma3nz_stddevNorm                           0.0087          0.013          0.007          0.013         0.0096         0.0053         0.0066          0.014    
spectralFluxV_sma3nz_amean                                  0.025          0.027          0.019          0.024           0.03          0.033          0.035          0.036    
spectralFluxV_sma3nz_stddevNorm                            0.0078         0.0093         0.0088           0.03          0.014         0.0085          0.009          0.014    
mfcc1V_sma3nz_amean                                        0.0059         0.0054          0.015          0.019          0.012          0.013          0.017          0.014    
mfcc1V_sma3nz_stddevNorm                                   0.0082         0.0071          0.011          0.011         0.0063         0.0064         0.0074         0.0056    
mfcc2V_sma3nz_amean                                         0.013          0.017          0.021          0.018          0.014          0.018          0.019          0.032    
mfcc2V_sma3nz_stddevNorm                                    0.011          0.013          0.013          0.012         0.0077           0.01          0.017          0.013    
mfcc3V_sma3nz_amean                                          0.01         0.0092         0.0078          0.012         0.0085         0.0064         0.0071         0.0082    
mfcc3V_sma3nz_stddevNorm                                   0.0057           0.01         0.0068          0.014         0.0071         0.0052         0.0044         0.0085    
mfcc4V_sma3nz_amean                                         0.012          0.011         0.0093         0.0069          0.011         0.0091          0.012           0.01    
mfcc4V_sma3nz_stddevNorm                                   0.0091         0.0073         0.0093         0.0088         0.0068         0.0077         0.0068         0.0091    
alphaRatioUV_sma3nz_amean                                  0.0077          0.012          0.017          0.009          0.008          0.011         0.0059         0.0063    
hammarbergIndexUV_sma3nz_amean                              0.012         0.0075          0.018         0.0088         0.0099           0.01          0.013         0.0052    
slopeUV0-500_sma3nz_amean                                   0.026          0.021          0.033          0.022         0.0093          0.015          0.017          0.024    
slopeUV500-1500_sma3nz_amean                                 0.01         0.0089         0.0064         0.0048         0.0065         0.0052         0.0075         0.0068    
spectralFluxUV_sma3nz_amean                                 0.013          0.017          0.022          0.023          0.017          0.035          0.022          0.014    
loudnessPeaksPerSec                                         0.012         0.0069         0.0057         0.0074         0.0095         0.0075         0.0092         0.0052    
VoicedSegmentsPerSec                                       0.0083          0.008         0.0056         0.0054         0.0078         0.0049         0.0045         0.0063    
MeanVoicedSegmentLengthSec                                  0.007          0.008         0.0065         0.0054         0.0061          0.005         0.0057          0.004    
StddevVoicedSegmentLengthSec                               0.0085         0.0041         0.0044         0.0047         0.0057         0.0084         0.0049         0.0048    
MeanUnvoicedSegmentLength                                   0.015         0.0066         0.0035         0.0071         0.0073          0.012          0.006         0.0043    
StddevUnvoicedSegmentLength                                 0.011         0.0096         0.0089         0.0061         0.0045         0.0066         0.0041         0.0063    
equivalentSoundLevel_dBp                                    0.011          0.013          0.012         0.0098          0.014          0.011          0.011          0.013    
