# Speaker Information--------------------------------------------------------------------------------------------------------------------------------
Name: _
Age: 30
Sex: M
Date: 2022-09-10 09:17:09.219372

# Classification Information-------------------------------------------------------------------------------------------------------------------------
Experiment: train-101M102M103M104M110Mrec2_test-110Mrec1
Data: small-subset

# Modelparameters------------------------------------------------------------------------------------------------------------------------------------
classifier    num-estimators    criterion    max_depth    max_features    min_samples_split    min_samples_leaf
         1               100         gini           20            sqrt                   10                   5
         2               100         gini           20            sqrt                   10                   5
         3               100         gini           20            sqrt                   10                   5
         4               100         gini           20            sqrt                   10                   5
         5               100         gini           20            sqrt                   10                   5
         6               100         gini           20            sqrt                   10                   5
         7               100         gini           20            sqrt                   10                   5
         8               100         gini           20            sqrt                   10                   5

# Results--------------------------------------------------------------------------------------------------------------------------------------------
class 0-vs-i    mean-accuracy    recall    precison    f1-score
           1             0.57      0.61        0.64        0.62
           2             0.74      0.79        0.77        0.78
           3             0.58      0.51        0.71        0.59
           4             0.67      0.70        0.74        0.72
           5             0.63      0.50        0.81        0.62
           6             0.76      0.78        0.82        0.80
           7             0.52      0.60        0.60        0.60
           8             0.65      0.58        0.79        0.67

# Feature Importances--------------------------------------------------------------------------------------------------------------------------------
feature-name                                          block 10_20    block 20_30    block 30_40    block 40_50    block 50_60    block 60_70    block 70_80    block 80_90    
loudness_sma3_amean                                         0.011         0.0087          0.015          0.012          0.015          0.011          0.011          0.018    
loudness_sma3_stddevNorm                                    0.019          0.012          0.011         0.0082         0.0087          0.012         0.0091         0.0072    
loudness_sma3_percentile20.0                                0.011          0.015          0.015         0.0092         0.0095          0.011         0.0068          0.013    
loudness_sma3_percentile50.0                               0.0093          0.012           0.02          0.011          0.016         0.0086          0.011          0.015    
loudness_sma3_percentile80.0                               0.0063         0.0097          0.014         0.0074          0.011         0.0094          0.011          0.016    
loudness_sma3_pctlrange0-2                                 0.0084          0.011         0.0096         0.0096         0.0097         0.0099          0.007         0.0099    
loudness_sma3_meanRisingSlope                              0.0088         0.0081         0.0072         0.0089         0.0082          0.013          0.011         0.0095    
loudness_sma3_stddevRisingSlope                            0.0088         0.0068         0.0091          0.011         0.0078         0.0092         0.0079          0.007    
loudness_sma3_meanFallingSlope                              0.012         0.0095          0.011          0.016           0.01          0.011         0.0085         0.0082    
loudness_sma3_stddevFallingSlope                           0.0065         0.0086           0.01           0.01         0.0055         0.0093         0.0079         0.0056    
spectralFlux_sma3_amean                                     0.012          0.013          0.015          0.016          0.016          0.026          0.015          0.017    
spectralFlux_sma3_stddevNorm                                0.017          0.015          0.019          0.017          0.009         0.0093         0.0091         0.0082    
mfcc1_sma3_amean                                            0.012           0.01         0.0077         0.0094         0.0099          0.012           0.01         0.0067    
mfcc1_sma3_stddevNorm                                       0.011          0.012          0.011         0.0091         0.0095         0.0096           0.01          0.011    
mfcc2_sma3_amean                                            0.012         0.0093          0.014          0.015          0.016          0.014         0.0088          0.013    
mfcc2_sma3_stddevNorm                                       0.011           0.01          0.014          0.011         0.0081         0.0092         0.0069         0.0098    
mfcc3_sma3_amean                                             0.01         0.0087         0.0088           0.01         0.0061         0.0092         0.0074         0.0097    
mfcc3_sma3_stddevNorm                                        0.01         0.0097         0.0079          0.011         0.0059         0.0076         0.0077         0.0055    
mfcc4_sma3_amean                                           0.0096          0.012           0.01           0.01         0.0069           0.01          0.013         0.0097    
mfcc4_sma3_stddevNorm                                      0.0092           0.01         0.0098         0.0058         0.0076         0.0089          0.011         0.0095    
jitterLocal_sma3nz_amean                                   0.0086          0.013          0.013           0.01         0.0061         0.0081          0.018          0.011    
jitterLocal_sma3nz_stddevNorm                              0.0099         0.0094         0.0067         0.0066         0.0059         0.0084         0.0078         0.0054    
shimmerLocaldB_sma3nz_amean                                 0.011          0.011         0.0086          0.009          0.013          0.015         0.0096          0.014    
shimmerLocaldB_sma3nz_stddevNorm                           0.0069          0.015          0.012          0.011          0.009         0.0077           0.01         0.0071    
HNRdBACF_sma3nz_amean                                      0.0087         0.0093          0.012          0.013           0.01           0.01          0.015          0.015    
HNRdBACF_sma3nz_stddevNorm                                 0.0094         0.0072         0.0096           0.01         0.0066         0.0076          0.011         0.0095    
logRelF0-H1-H2_sma3nz_amean                                 0.016          0.013          0.013          0.016          0.021          0.014          0.015          0.017    
logRelF0-H1-H2_sma3nz_stddevNorm                            0.015          0.014           0.01          0.011          0.011         0.0088          0.012         0.0093    
logRelF0-H1-A3_sma3nz_amean                                  0.01          0.016          0.011          0.014          0.019          0.014          0.011          0.013    
logRelF0-H1-A3_sma3nz_stddevNorm                             0.01         0.0077         0.0077         0.0099         0.0078          0.011         0.0095         0.0087    
F1frequency_sma3nz_amean                                    0.012         0.0094         0.0099          0.015          0.017          0.013         0.0074          0.019    
F1frequency_sma3nz_stddevNorm                               0.012         0.0091         0.0092          0.011          0.016          0.013          0.013           0.01    
F1bandwidth_sma3nz_amean                                   0.0089         0.0092          0.015          0.017          0.033          0.033          0.013          0.024    
F1bandwidth_sma3nz_stddevNorm                              0.0089         0.0074         0.0062         0.0077          0.017           0.01           0.01         0.0087    
F1amplitudeLogRelF0_sma3nz_amean                            0.011          0.016         0.0056         0.0071          0.014          0.011          0.012         0.0092    
F1amplitudeLogRelF0_sma3nz_stddevNorm                        0.01          0.019         0.0076          0.012          0.012          0.011         0.0076         0.0089    
F2frequency_sma3nz_amean                                     0.01          0.014          0.015          0.011          0.021          0.011         0.0087          0.017    
F2frequency_sma3nz_stddevNorm                               0.011          0.014          0.014          0.016          0.023          0.028          0.014          0.021    
F2bandwidth_sma3nz_amean                                    0.012         0.0081          0.011         0.0093         0.0081         0.0093          0.011         0.0092    
F2bandwidth_sma3nz_stddevNorm                              0.0086         0.0073         0.0061         0.0083         0.0063         0.0079         0.0078         0.0064    
F2amplitudeLogRelF0_sma3nz_amean                           0.0078          0.011         0.0084         0.0098          0.009         0.0073          0.014         0.0068    
F2amplitudeLogRelF0_sma3nz_stddevNorm                      0.0093         0.0082         0.0079          0.005         0.0065         0.0069         0.0085         0.0082    
F3frequency_sma3nz_amean                                    0.015          0.018          0.015          0.014          0.018          0.027          0.013           0.03    
F3frequency_sma3nz_stddevNorm                               0.012          0.014          0.016          0.014          0.026          0.023          0.014          0.019    
F3bandwidth_sma3nz_amean                                    0.012         0.0094          0.012          0.011          0.018          0.016          0.025          0.014    
F3bandwidth_sma3nz_stddevNorm                               0.013          0.019          0.011          0.013         0.0086          0.012          0.012         0.0094    
F3amplitudeLogRelF0_sma3nz_amean                           0.0076          0.011         0.0066         0.0079         0.0096         0.0083           0.01         0.0067    
F3amplitudeLogRelF0_sma3nz_stddevNorm                      0.0097          0.011         0.0073         0.0052          0.006         0.0091          0.015         0.0071    
alphaRatioV_sma3nz_amean                                     0.01         0.0097          0.024          0.018          0.013          0.014          0.011          0.011    
alphaRatioV_sma3nz_stddevNorm                               0.011          0.012         0.0097         0.0091         0.0085         0.0066          0.012         0.0057    
hammarbergIndexV_sma3nz_amean                               0.012         0.0093          0.012          0.013          0.017          0.009          0.011          0.012    
hammarbergIndexV_sma3nz_stddevNorm                           0.01         0.0085          0.011           0.01          0.015          0.011         0.0095         0.0075    
slopeV0-500_sma3nz_amean                                    0.031          0.036          0.025          0.024          0.014          0.007          0.017          0.011    
slopeV0-500_sma3nz_stddevNorm                               0.022          0.019          0.018          0.018          0.016          0.012          0.015          0.032    
slopeV500-1500_sma3nz_amean                                 0.011          0.014          0.013         0.0097          0.018          0.015         0.0078          0.016    
slopeV500-1500_sma3nz_stddevNorm                           0.0092           0.01          0.008          0.011         0.0068         0.0059          0.009         0.0065    
spectralFluxV_sma3nz_amean                                  0.012          0.015          0.014          0.016          0.015           0.02          0.015          0.025    
spectralFluxV_sma3nz_stddevNorm                             0.016          0.012          0.011          0.014           0.01         0.0085         0.0091           0.01    
mfcc1V_sma3nz_amean                                         0.012          0.011         0.0099          0.021          0.011          0.021         0.0098          0.014    
mfcc1V_sma3nz_stddevNorm                                   0.0097         0.0081          0.008           0.01         0.0081         0.0078          0.008         0.0085    
mfcc2V_sma3nz_amean                                         0.014          0.012          0.013          0.019          0.012          0.016          0.014          0.014    
mfcc2V_sma3nz_stddevNorm                                    0.011          0.011          0.013          0.013         0.0078         0.0083          0.013          0.011    
mfcc3V_sma3nz_amean                                        0.0098         0.0092         0.0084         0.0074         0.0096         0.0074         0.0074          0.006    
mfcc3V_sma3nz_stddevNorm                                   0.0085          0.011         0.0077         0.0092         0.0061         0.0057         0.0077         0.0064    
mfcc4V_sma3nz_amean                                         0.012          0.013         0.0086         0.0096         0.0077         0.0087          0.012         0.0073    
mfcc4V_sma3nz_stddevNorm                                   0.0084         0.0065          0.011         0.0079         0.0052         0.0086         0.0079         0.0098    
alphaRatioUV_sma3nz_amean                                    0.01          0.011          0.012           0.01          0.017         0.0098           0.01          0.012    
hammarbergIndexUV_sma3nz_amean                              0.012          0.013          0.016          0.012          0.012          0.009          0.012         0.0066    
slopeUV0-500_sma3nz_amean                                   0.028          0.025          0.025          0.021          0.012          0.016          0.018          0.014    
slopeUV500-1500_sma3nz_amean                                 0.01          0.013         0.0081          0.009           0.01         0.0071          0.013          0.011    
spectralFluxUV_sma3nz_amean                                 0.014          0.011          0.014          0.015          0.017          0.017          0.015          0.017    
loudnessPeaksPerSec                                        0.0098         0.0069          0.009         0.0066         0.0079         0.0064         0.0076         0.0058    
VoicedSegmentsPerSec                                        0.011         0.0076         0.0075         0.0052         0.0076         0.0056         0.0086         0.0066    
MeanVoicedSegmentLengthSec                                 0.0092          0.015         0.0053           0.01          0.008         0.0049          0.011         0.0093    
StddevVoicedSegmentLengthSec                                0.011         0.0067         0.0068         0.0097         0.0046         0.0083           0.01         0.0054    
MeanUnvoicedSegmentLength                                   0.011         0.0082         0.0054         0.0081         0.0075         0.0089          0.016         0.0077    
StddevUnvoicedSegmentLength                                0.0099         0.0087         0.0088         0.0068         0.0071          0.007         0.0076         0.0056    
equivalentSoundLevel_dBp                                   0.0091          0.013         0.0099         0.0099           0.01          0.011         0.0095         0.0093    
